Slno,Course Code,Course Name,Course Category,Course Type,Credits,Lectures,Tutorial,Practical,Course cordinator Id,Course cordinator Name,Semester/Batch,Students registered,Lab_id,Instructor,bucket,batches_prac,end
128,CSD019U2M,Design and Analysis of Algorithms,Departmental Core,THEORY,3,3,1,0,IITJMU11105,Harkeerat Kaur,2,120,,,,,end
54,EEL064U3E,Digital Communications,Departmental Elective,THEORY,3,3,0,0,IITJMU11021,Ajay Singh,1,23,,,,,end
69,MTL012U3E,Advanced concepts of nanostructured materials,Departmental Elective,THEORY,3,3,0,0,IITJMU11077,Rani Rohini,2,27,,,,,end
75,CHL029P5G,"Nanomaterials: Synthesis, Characterization, and Applications",Departmental Elective,THEORY,3,3,0,0,IITJMU11076,Ankit Tyagi,2,30,,,,,end
12,MEP014P1M,Energy Laboratory,Departmental Practical,PRACTICAL,2,0,0,3,IITJMU11053,Satya Sekhar Bhogilla,2,10,,,,,end
21,CEP101P1M,Rock Mechanics Laboratory,Departmental Practical,PRACTICAL,1,0,0,2,IITJMU11104,Sivakumar G,4,12,,,,,end
53,MTP004U3M,Materials Simulation Laboratory,Departmental Practical,PRACTICAL,2,0,0,4,IITJMU11075,Srishilan C,2,21,,,,,end
65,CEP001U2M,Transportation and Highway Engineering laboratory,Departmental Practical,PRACTICAL,2,0,0,3,IITJMU11054,Ankit Kathuria,2,26,,,,,end
67,CEP006U3M,Civil Engineering Materials lab,Departmental Practical,PRACTICAL,1,0,0,2,IITJMU11047,Sameer Kumar Sarma Pachalla,2,27,,,,,end
79,CEP003U2M,Structural Analysis Lab,Departmental Practical,PRACTICAL,1,0,0,2,IITJMU11051,Rimen Jamatia,2,32,,,,,end
80,CEP005U2M,Surveying Laboratory,Departmental Practical,PRACTICAL,2,0,0,4,IITJMU11080,Divyesh Varade,2,32,,,,,end
96,MEP006U2M,Manufacturing Laboratory I,Departmental Practical,PRACTICAL,2,0,0,3,IITJMU11027,Shiva S,2,37,,,,,end
101,EEP012U2M,Digital Design and Microcomputers Laboratory,Departmental Practical,PRACTICAL,1,0,0,2,IITJMU11034,Ankit Dubey,2,38,,,,,end
102,EEP003U2M,Engineering Electromagnetics Laboratory,Departmental Practical,PRACTICAL,1,0,0,2,IITJMU40008,Jegannathan Srinivasan,2,38,,,,,end
129,CE-1-01(TO),Solid Mechanics,Institute Core,THEORY,3,3,0,0,IITJMU11016,Rajendra Kumar Varma,2,126,,,,,end
43,HSL035U3M,Problems of Philosophy,Institute Core,THEORY,2,2,0,0,IITJMU40006,Bijoy H Boruah,2,18,,,A,,end
105,HSL201U3M,Introduction to Philosophy,Institute Core,THEORY,3,3,0,0,IITJMU11052,Joby Varghese,2,40,,,A,,end
116,HSL031U3M,Concepts in Indian Philosophy,Institute Core,THEORY,2,2,0,0,IITJMU11062,Amitash Ojha,2,75,,,A,,end
137,HSL029U3M,Introduction to Economics,Institute Core,THEORY,3,3,0,0,IITJMU11086,Bhaskar Jyoti Neog,2,223,,,A,,end
124,CH-1-01(TO),Engineering Thermodynamics,Institute Core,THEORY,3,3,1,0,IITJMU11042,Gaurav Ashok Bhaduri,2,106,,,,,end
139,BBL002U3E,Biophysics and Biochemistry,Open Elective,THEORY,3,3,0,0,IITJMU11101,Vinay Sharma,2,,,,,,end
2,BBL011P6M,Research Methods and Ethics,Open Elective,THEORY,2,2,0,0,IITJMU40005,R. Uma Shankar,2,6,,,,,end
111,MEL042U3E,Introduction to Bioinspired Engineering,Open Elective,THEORY,3,3,0,0,IITJMU40005,R. Uma Shankar,2,58,,,,6,end
119,MEC011U3E,Electric and Hybrid Vehicle Power Train Fundamentals,Open Elective,THEORY / PRACTICAL,3,3,0,1,IITJMU20031,Rakesh Singhai,2,90,,,,,end
138,BBL004U3E,Biosensors,Open Elective,THEORY,3,3,0,0,IITJMU11069,Dharitri Rath,2,,,,,1,end
125,CY-1-04(TO),Introduction to Fundamental and Applied Chemistry-II,Institute Core,THEORY,3,3,0,0,IITJMU11005,Subhas Samanta,2,110,,,,,end
127,CY-1-02(PO),Chemistry Laboratory,Institute Core,PRACTICAL,2,0,0,3,IITJMU11055,Guru Brahamam Ramani,2,111,,,,,end
123,ME-1-03(PO),Mechanical Workshop,Institute Core,THEORY,2,0,0,4,IITJMU11027,Shiva S,3,106,,,,,end
132,DIP005U3M,Product Development - II,Institute Core,PROJECT,1,0,0,2,IITJMU11044,Kankat Ghosh,3,173,,,,,end
62,CEL008U3M,Design of Steel Structures,Departmental Core,THEORY,3,3,0,0,IITJMU11049,Surendra Beniwal,3,26,,,,,end
91,EED015U3M,Power Engineering,Departmental Core,THEORY,3,3,1,0,IITJMU11002,Anup Shukla,3,36,,,,,end
93,EEL016U3M,Analog Electronics,Departmental Core,THEORY,3,3,0,0,IITJMU11044,Kankat Ghosh,3,36,,,,,end
104,CSL019U3M,Theory of Computation,Departmental Core,THEORY,3,3,0,0,IITJMU11083,Suman Banerjee,3,39,,,,,end
113,CSC032U3M,Computer Networks,Departmental Core,THEORY / PRACTICAL,4,3,0,2,IITJMU11045,Gaurav Varshney,3,63,,,,,end
114,CSC033U3M,Machine Learning,Departmental Core,THEORY / PRACTICAL,4,3,0,2,IITJMU11088,Shaifu Gupta,3,66,,,,,end
38,CSL058U3E,High Performance Computer Systems,Departmental Elective,THEORY,3,3,0,0,IITJMU11059,Subhasis Bhattacharjee,3,16,,,,,end
41,CSC063P1E,Adversarial Machine Learning,Departmental Elective,THEORY / PRACTICAL,4,3,0,2,IITJMU11028,Yamuna Prasad,3,17,,,,,end
45,CSL029U4E,Cryptography,Departmental Elective,THEORY,3,3,0,0,IITJMU11046,Sumit Kumar Pandey,3,18,,,,,end
56,EEL071U3E,Advanced Engineering Electromagnetics,Departmental Elective,THEORY,3,3,0,0,IITJMU11004,Kushmanda Saurav,3,24,,,,,end
58,CHL030P6G,Biochemical Engineering,Departmental Elective,THEORY,3,3,0,0,IITJMU11081,Ashutosh Yadav,3,25,,,,,end
60,CHL027P6G,Petroleum Refinery and Petrochemicals,Departmental Elective,THEORY,3,3,0,0,IITJMU11081,Ashutosh Yadav,3,25,,,,,end
64,CEL040U3E,Engineering Hydrology,Departmental Elective,THEORY,3,3,0,0,IITJMU11085,Chembolu Vinay,3,26,,,,,end
141,CHD010P5M,Transport Phenomenon,Departmental Elective,THEORY,3,3,1,0,IITJMU11069,Dharitri Rath,3,30,,,,,end
22,CEP102P1M,Geology and Geophysical Investigations Lab,Departmental Practical,PRACTICAL,1,0,0,2,IITJMU11103,Prasun Halder,3,12,,,,,end
72,MTP001U2M,Materials Characterization Laboratory,Departmental Practical,PRACTICAL,2,0,0,4,IITJMU11075,Srishilan C,3,29,,,,,end
84,MEP023U3M,Machine Design Lab,Departmental Practical,PRACTICAL,1,0,0,2,IITJMU11072,Roshan Udaram Patil,3,32,,,,,end
88,MEP033U3M,Mechanical Engineering Drawing,Departmental Practical,PRACTICAL,2,0,0,3,IITJMU11035,Durai Prabhakaran R T,3,33,,,,,end
92,EEP015U3M,Power Engineering Laboratory,Departmental Practical,PRACTICAL,1,0,0,2,IITJMU11002,Anup Shukla,3,36,,,,,end
94,EEP016U3M,Analog Electronics Laboratory,Departmental Practical,PRACTICAL,1,0,0,2,IITJMU11044,Kankat Ghosh,3,36,,,,,end
99,MEP002U2M,Fluid Mechanics and Machinery Lab,Departmental Practical,PRACTICAL,2,0,0,3,IITJMU11084,Navneet Kumar,3,37,,,,,end
63,CEL004U2M,Construction Management and Practices,Institute Core,THEORY,3,3,0,0,IITJMU10101,Anurag Misra,3,26,,,,,end
77,HSL057U2M,Technoscience and Transhumanism,Institute Core,THEORY,2,2,0,0,IITJMU40006,Bijoy H Boruah,3,32,,,A,,end
131,HSL045U2M,Higher Education and Society,Institute Core,THEORY,2,2,0,0,IITJMU11056,Sayantan Mandal,3,143,,,A,,end
134,HSL044U2M,Globalization and Development,Institute Core,THEORY,2,2,0,0,IITJMU11056,Sayantan Mandal,3,181,,,A,,end
14,MAD009P6G,Partial Differential Equations,Open Elective,THEORY,3,3,1,0,IITJMU11019,Tanmay Sarkar,3,11,,,,,end
26,HSL071U3E,ipo to IPO: Launch and Growth,Open Elective,THEORY,3,3,0,0,IITJMU11062,Amitash Ojha,3,13,,,,,end
117,HSL059U2M,Introduction to Industrial and Organisational Psychology,Open Elective,THEORY,2,2,0,0,IITJMU11062,Amitash Ojha,3,76,,,,,end
140,CHL036U3E,Biosensors,Open Elective,THEORY,3,3,0,0,IITJMU11069,Dharitri Rath,3,,,,,,end
22,DIP005U3M,Product Development - II,Design Core,PROJECT,1,0,0,2,IITJMU11044,Kankat Ghosh,3,173,,,,A,
100,EED003U2M,Engineering Electromagnetics,Departmental Core,THEORY,3,3,1,0,IITJMU40008,Jegannathan Srinivasan,4,38,,,,,end
110,EED012U2M,Digital Design and Microcomputers,Departmental Core,THEORY,3,3,1,0,IITJMU11034,Ankit Dubey,4,42,,,,,end
135,EFD009U2M,Electronic materials: Fundamentals and device concepts,Institute Core,THEORY,3,3,1,0,IITJMU11066,Biswanath Chakraborty,4,205,,,,,end
10,CSC048P1M,Pattern Recognition Machine Learning,Departmental Core,THEORY / PRACTICAL,4,3,0,2,IITJMU11105,Harkeerat Kaur,4,8,,,,,end
11,CSC047P1M,Big Data and Large Scale Computing,Departmental Core,THEORY / PRACTICAL,4,3,0,2,IITJMU11106,Harkeerat Kaur,4,8,,,,,end
46,EEL007P1M,Detection & Estimation Theory,Departmental Core,THEORY,3,3,0,0,IITJMU11064,Ankur Bansal,4,19,,,,,end
57,EEL006P1M,Antenna & Wave Propagation,Departmental Core,THEORY,3,3,0,0,IITJMU11004,Kushmanda Saurav,4,25,,,,,end
87,CHD004U2M,Heat Transfer,Departmental Core,THEORY,3,3,1,0,IITJMU11076,Ankit Tyagi,4,33,,,,,end
5,CSC064P1E,Cyber-Physical System and Internet of Things,Departmental Elective,THEORY / PRACTICAL,4,3,0,2,,,4,6,,,,,end
23,CSL033U4E,Natural Language Processing,Departmental Elective,THEORY,3,3,0,0,IITJMU11028,Yamuna Prasad,4,12,,,,,end
24,EEP076P1M,Advanced System Design Lab.,Departmental Elective,PRACTICAL,2,0,0,3,IITJMU11071,Ambika Prasad Shah,4,13,,,,,end
