Courses offered data for 2022-23 semester 02,,,,,,,,,,,,,,,
Slno,Course Code,Course Name,Course Category,Course Type,Department,Credits,Lectures,Tutorial,Practical,Course cordinator Id,Course cordinator Name,Course Instructor Id,Course Instructor Name,Semester/Batch,Students registered
73,PHP025P1M,Physics Laboratory (General),Departmental Core,PRACTICAL,PH,4,0,0,8,IITJMU11063,Venkata Sathish Akella,,,2019-20_2020-21_2021-22_2022-23,6
74,MTL007U3M,Engineering Ceramics,Departmental Core,THEORY,MT,3,3,0,0,IITJMU11100,Srinivasan N,,,2019-20_2020-21_2021-22_2022-23,21
75,MTL008U3M,Industrial Materials Processing,Departmental Core,THEORY,MT,3,3,0,0,IITJMU11100,Srinivasan N,,,2019-20_2020-21_2021-22_2022-23,21
76,MTP003U3M,Materials Processing Laboratory-II,Departmental Practical,PRACTICAL,MT,2,0,0,4,IITJMU11096,Suman Sarkar,IITJMU11060_IITJMU11075_IITJMU11077,Shantanu Vijay Madge_Srishilan C_Rani Rohini,2019-20_2020-21_2021-22_2022-23,21
77,CSC029U2M,Principles of Programming Languages,Departmental Core,THEORY / PRACTICAL,CS,4,3,0,2,IITJMU11059,Subhasis Bhattacharjee,,,2019-20_2020-21_2021-22_2022-23,41
78,CSD019U2M,Design and Analysis of Algorithms,Departmental Core,THEORY,CS,3,3,1,0,IITJMU11105,Harkeerat Kaur,,,2019-20_2020-21_2021-22_2022-23,120
79,CSL019U3M,Theory of Computation,Departmental Core,THEORY,CS,3,3,0,0,IITJMU11083,Suman Banerjee,,,2019-20_2020-21_2021-22_2022-23,39
80,CSC032U3M,Computer Networks,Departmental Core,THEORY / PRACTICAL,CS,4,3,0,2,IITJMU11045,Gaurav Varshney,,,2019-20_2020-21_2021-22_2022-23,63
81,CSC033U3M,Machine Learning,Departmental Core,THEORY / PRACTICAL,CS,4,3,0,2,IITJMU11088,Shaifu Gupta,,,2019-20_2020-21_2021-22_2022-23,66
82,CSC045P1M,High Performance Computer Systems,Departmental Core,THEORY / PRACTICAL,CS,4,3,0,2,IITJMU11059,Subhasis Bhattacharjee,,,2019-20_2020-21_2021-22_2022-23,5
83,CSL058U3E,High Performance Computer Systems,Departmental Elective,THEORY,CS,3,3,0,0,IITJMU11059,Subhasis Bhattacharjee,,,2019-20_2020-21_2021-22_2022-23,16
84,CSC046P1M,Computer Networks,Departmental Core,THEORY / PRACTICAL,CS,4,3,0,2,IITJMU11045,Gaurav Varshney,,,2019-20_2020-21_2021-22_2022-23,5
85,MEP006U2M,Manufacturing Laboratory I,Departmental Practical,PRACTICAL,ME,2,0,0,3,IITJMU11027,Shiva S,,,2019-20_2020-21_2021-22_2022-23,37
86,MTP004U3M,Materials Simulation Laboratory,Departmental Practical,PRACTICAL,MT,2,0,0,4,IITJMU11075,Srishilan C,,,2019-20_2020-21_2021-22_2022-23,21
87,MED005U2M,Heat Transfer,Departmental Core,THEORY,ME,3,3,1,0,IITJMU11033,Goutam Dutta,,,2019-20_2020-21_2021-22_2022-23,37
88,CS-1-02(MO),Data Structure and Algorithms,Engineering Core,THEORY / PRACTICAL,CS,3,2,0,2,IITJMU11024,Vinit Jakhetiya,,,2022-23,173
89,MTL017P6G,Rheology of Complex Fluids,Departmental Elective,THEORY,MT,3,3,0,0,IITJMU11077,Rani Rohini,IITJMU11067,Yogesh Madhukarrao Nimdeo,2019-20_2020-21_2021-22_2022-23,32
90,MTL012U3E,Advanced concepts of nanostructured materials,Departmental Elective,THEORY,MT,3,3,0,0,IITJMU11077,Rani Rohini,,,2019-20_2020-21_2021-22_2022-23,27
91,MTL014U3E,Design of Steel Making,Departmental Elective,THEORY,MT,3,3,0,0,IITJMU11075,Srishilan C,,,2019-20_2020-21_2021-22_2022-23,13
92,MTL015U3E,Transport Phenomena for Materials Processing,Departmental Elective,THEORY,MT,3,3,0,0,IITJMU11075,Srishilan C,,,2019-20_2020-21_2021-22_2022-23,2
93,CSL033U4E,Natural Language Processing,Departmental Elective,THEORY,CS,3,3,0,0,IITJMU11028,Yamuna Prasad,,,2019-20_2020-21_2021-22_2022-23,12
94,CSL029U4E,Cryptography,Departmental Elective,THEORY,CS,3,3,0,0,IITJMU11046,Sumit Kumar Pandey,,,2019-20_2020-21_2021-22_2022-23,18
95,MEC046U3E,Powder Bed Fusion Additive Manufacturing,Departmental Elective,THEORY / PRACTICAL,ME,2,1,0,1,IITJMU11015,Anand Kumar Subramaniyan,IITJMU11090,Rajkumar V,2019-20_2020-21_2021-22_2022-23,15
96,CYL013P1M,Group Theory: Basics and Applications,Credit Earning Course,THEORY,CY,3,3,0,0,IITJMU11018,Shivnath Mazumder,,,2019-20_2020-21_2021-22_2022-23,11
97,CYL014P1M,Organometallics and Catalysis,Credit Earning Course,THEORY,CY,3,3,0,0,IITJMU11005,Subhas Samanta,,,2019-20_2020-21_2021-22_2022-23,11
98,CYL015P1M,Contemporary Organic Synthesis,Credit Earning Course,THEORY,CY,3,3,0,0,IITJMU11055,Guru Brahamam Ramani,,,2019-20_2020-21_2021-22_2022-23,11
99,CYL016P1M,Biocatalysis and Metalloproteins,Credit Earning Course,THEORY,CY,2,2,0,0,IITJMU11061,Jayaramulu Kolleboyina,,,2019-20_2020-21_2021-22_2022-23,11
100,CYL017P1M,Chemical Kinetics and Thermodynamics,Credit Earning Course,THEORY,CY,3,3,0,0,IITJMU11065,Amlan Kumar Pal,,,2019-20_2020-21_2021-22_2022-23,11
101,CYP018P1M,Organic Chemistry Laboratory,Credit Earning Course,PRACTICAL,CY,3,0,0,6,IITJMU11001,Pankaj Chauhan,,,2019-20_2020-21_2021-22_2022-23,11
102,MEL017U3M,Manufacturing System Design,Departmental Core,THEORY,ME,3,3,0,0,IITJMU11029,Vijay Kumar Pal,,,2019-20_2020-21_2021-22_2022-23,32
103,HSL059U2M,Introduction to Industrial and Organisational Psychology,Open Elective,THEORY,HU,2,2,0,0,IITJMU11062,Amitash Ojha,,,2019-20_2020-21_2021-22_2022-23,76
104,MEY402U4M,BTP-II,BTP,PRACTICAL,ME,5,0,0,10,IITJMU11029,Vijay Kumar Pal,,,2019-20_2020-21_2021-22_2022-23,33
105,CHL038P6G,Heterogeneous Catalysis,Departmental Elective,THEORY,CH,3,3,0,0,IITJMU11097,Aditya Shankar Sandupatla,,,2019-20_2020-21_2021-22_2022-23,1
106,MEL054U3E,Tomographic Nondestructive Testing,Open Elective,THEORY,ME,3,3,0,0,IITJMU40009,Prabhat Munshi,,,2019-20_2020-21_2021-22_2022-23,4
107,CEY403U4E,Mini Project,Open Elective,PROJECT,CE,2,0,0,4,,,,,2019-20_2020-21_2021-22_2022-23,8
108,CCP007U2X,Creative Art-II,Credit Earning Course,THEORY / PRACTICAL,HU,1,0,0,2,IITJMU11062,Amitash Ojha,,,2019-20_2020-21_2021-22_2022-23,209
109,CSL021U4E,Probability and Stochastic Process,Departmental Elective,THEORY,CS_MA,3,3,0,0,IITJMU11019,Tanmay Sarkar,,,2019-20_2020-21_2021-22_2022-23,27
110,MEL004U2M,Kinematics and Dynamics of Machines,Departmental Core,THEORY,ME,3,3,0,0,IITJMU11057,Saurabh Biswas,,,2019-20_2020-21_2021-22_2022-23,41
111,MET300U4X,Internship,Credit Earning Course,THEORY,ME,1,0,0,2,IITJMU11053,Satya Sekhar Bhogilla,,,2019-20_2020-21_2021-22_2022-23,33
112,CEC021P6E,River Mechanics,Departmental Elective,THEORY / PRACTICAL,CE,3,2,0,2,IITJMU11085,Chembolu Vinay,,,2019-20_2020-21_2021-22_2022-23,1
113,EEP003P1M,RF System Lab,Departmental Elective,PRACTICAL,EE,2,0,0,4,IITJMU11004,Kushmanda Saurav,,,2019-20_2020-21_2021-22_2022-23,1
114,MEL053P6G,Nuclear Security,Open Elective,THEORY,ME,3,3,0,0,IITJMU40009,Prabhat Munshi,,,2019-20_2020-21_2021-22_2022-23,1
115,HSL071U3E,ipo to IPO: Launch and Growth,Open Elective,THEORY,HU,3,3,0,0,IITJMU11062,Amitash Ojha,,,2019-20_2020-21_2021-22_2022-23,13
116,EEL037P1M,Embedded System Design,Departmental Core,THEORY,EE,3,3,0,0,IITJMU11043,Satyadev Ahlawat,,,2019-20_2020-21_2021-22_2022-23,20
117,EEP037P1M,Embedded System Design Lab,Departmental Core,PRACTICAL,EE,1,0,0,2,IITJMU11043,Satyadev Ahlawat,,,2019-20_2020-21_2021-22_2022-23,19
118,EEL075P1M,Cyber Physical Systems,Departmental Core,THEORY,EE,3,3,0,0,IITJMU11039,Sudhakar Modem,,,2019-20_2020-21_2021-22_2022-23,26
119,HSL058U3E,ipo to IPO: Value Proposition Design,Open Elective,THEORY,HU,3,3,0,0,IITJMU11062,Amitash Ojha,,,2019-20_2020-21_2021-22_2022-23,30
120,CSC042U4E,Internet of Things,Departmental Elective,THEORY / PRACTICAL,CS,3,2,0,2,,,,,2019-20_2020-21_2021-22_2022-23,11
121,MTY402U4M,BTP-II,BTP,PROJECT,MT,5,0,0,10,IITJMU11077,Rani Rohini,IITJMU11096_IITJMU11100_IITJMU11075_IITJMU11060,Suman Sarkar_Srinivasan N_Srishilan C_Shantanu Vijay Madge,2019-20_2020-21_2021-22_2022-23,20
122,SCL001U2M,Introduction to Fundamental and Applied Chemistry,Credit Earning Course,THEORY,CY,3,3,0,0,IITJMU11061,Jayaramulu Kolleboyina,IITJMU11065_IITJMU11001,Amlan Kumar Pal_Pankaj Chauhan,2019-20_2020-21_2021-22_2022-23,210
123,SCP001U1M,Chemistry Laboratory,Credit Earning Course,PRACTICAL,CY,2,0,0,3,IITJMU11018,Shivnath Mazumder,IITJMU11005_IITJMU11055,Subhas Samanta_Guru Brahamam Ramani,2019-20_2020-21_2021-22_2022-23,210
124,EEL071U3E,Advanced Engineering Electromagnetics,Departmental Elective,THEORY,EE,3,3,0,0,IITJMU11004,Kushmanda Saurav,,,2019-20_2020-21_2021-22_2022-23,24
125,EEC078P6G,Smart Sensors and MEMS Devices,Departmental Elective,THEORY,EE,3,2,0,2,IITJMU11093,Suresh Roland Devasahayam,IITJMU11048_IITJMU11010,Sahil Kalra_Badri Narayan Subudhi,2019-20_2020-21_2021-22_2022-23,11
126,CSC049P1M,Modern Cryptography,Departmental Core,THEORY / PRACTICAL,CS,4,3,0,2,IITJMU11046,Sumit Kumar Pandey,,,2019-20_2020-21_2021-22_2022-23,7
127,CSC050P1M,Information Security,Departmental Core,THEORY / PRACTICAL,CS,4,3,0,2,IITJMU10001,Manoj Singh Gaur,IITJMU11106,Samaresh Bera,2019-20_2020-21_2021-22_2022-23,7
128,PHL033P1X,Quantum Mechanics II,Credit Earning Course,THEORY,PH,3,3,0,0,IITJMU11066,Biswanath Chakraborty,,,2019-20_2020-21_2021-22_2022-23,6
129,CYL002P6E,Advanced Organic Synthesis: Named Reactions & Applications,Credit Earning Course,THEORY,CY,3,3,0,0,IITJMU11001,Pankaj Chauhan,IITJMU11055,Guru Brahamam Ramani,2019-20_2020-21_2021-22_2022-23,1
130,EFD007U2M,Mechanics of Solids,Institute Core,THEORY,CE,3,3,1,0,IITJMU11016,Rajendra Kumar Varma,,,2019-20_2020-21_2021-22_2022-23,58
131,EEL052P3E,"Sensors, Actuators and Instrumentation",Departmental Elective,THEORY,EE,3,2,0,2,IITJMU11093,Suresh Roland Devasahayam,IITJMU11048,Sahil Kalra,2019-20_2020-21_2021-22_2022-23,15
