PRINT CALLED
TABLE FOR CIVIL
,8:00-9:00,9:00-10:00,10:00-11:00,11:00-12:00,12:00-1:00,1:00-2:00,2:00-3:00,3:00-4:00,4:00-5:00,5:00-6:00,6:00-7:00
THURSDAY,MTL012U3E       ,empty           ,empty           ,empty           ,LUNCHBREAK      ,MTP004U3M(PRA)  ,MTP004U3M(PRA)  ,MTP004U3M(PRA)  ,MTP004U3M(PRA)  ,empty           ,empty           ,
FRIDAY,empty           ,empty           ,empty           ,empty           ,LUNCHBREAK      ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,
COURSES AND CLASSROOMS ALLOCATED TO THEM:
CE-1-01(TO)  -  AC-2-07

HSL035U3M  -  
HSL201U3M  -  
HSL031U3M  -  
HSL029U3M  -  
CH-1-01(TO)  -  
CY-1-04(TO)  -  
CY-1-02(PO)  -  
